ingredient	name	page	notes
Bitters (Orange)	Bamboo	140	House Orange Bitters
Bitters (Orange)	Fancy-Free	142	House Orange Bitters
Bitters (Orange)	Martinez	145	House Orange Bitters
Bitters (Orange)	Martini	145	House Orange Bitters
Bitters (Orange)	Ping-Pong Cocktail	148	House Orange Bitters
Bitters (Orange)	Tailspin	152	House Orange Bitters
Bitters (Orange)	Overhead Smash	158	House Orange Bitters
Bitters (Orange)	Botany Of Desire	162	House Orange Bitters
Bitters (Orange)	Hostage Situation	163	Regans’ Orange Bitters
Bitters (Orange)	Imperial March	163	House Orange Bitters
Bitters (Orange)	Jesper Lind	165	House Orange Bitters
Bitters (Orange)	The Monroe	166	House Orange Bitters
Bitters (Orange)	Sure Shot	169	House Orange Bitters
Bitters (Orange)	Julius Orange	172	House Orange Bitters
Bitters (Orange)	Amityville	175	House Orange Bitters
Bitters (Orange)	Arrack Strap	175	House Orange Bitters
Bitters (Orange)	Cinnamon Girl	182	House Orange Bitters
Bitters (Orange)	Perfect Crime	193	House Orange Bitters
Bitters (Orange)	Rebel Rebel	193	House Orange Bitters
Bitters (Orange)	Saramago	193	House Orange Bitters
Bitters (Orange)	Spaghetti Western	194	House Orange Bitters
Bitters (Orange)	Spanish Caravan	195	Angostura Orange Bitters
Bitters (Orange)	Te Amo	195	House Orange Bitters
Bitters (Orange)	Terrible Love	195	House Orange Bitters
Bitters (Orange)	202 Steps	197	House Orange Bitters
Bitters (Orange)	Blue Run Sling	198	House Orange Bitters
Bitters (Orange)	Vejk Sling	203	House Orange Bitters
Bitters (Orange)	La Viáa	206	Regans’ Orange Bitters
Bitters (Orange)	Manhattan Transfer	206	House Orange Bitters
Bitters (Orange)	Jarnac Shrub	216	House Orange Bitters
Bitters (Orange)	Elder Fashion Royale	222	House Orange Bitters
Bitters (Orange)	Seda De Naranja	227	House Orange Bitters
Bitters (Orange)	One, One, One	254	Regans’ Orange Bitters
Bitters (Orange)	Over And Out	254	House Orange Bitters
Bitters (Orange)	Cooper Union	255	House Orange Bitters
Bitters (Orange)	The Black Prince	267	House Orange Bitters
Bitters (Orange)	Pisco Inferno	269	House Orange Bitters
Bitters (Orange)	Death From Above	270	House Orange Bitters
Bitters (Orange)	Elder Fashion	270	House Orange Bitters
Bitters (Orange)	Headstone	272	House Orange Bitters
Bitters (Orange)	Tea Time At Guillermo’s	273	House Orange Bitters
Bitters (Pimento)	Schuman’s Alley	231	Dale Degroff’s Pimento Bitters
Bitters (Tiki)	Port Au Prince	149	Bittermens ’Elemakule Tiki Bitters
Bitters (Tiki)	Tommy And The Ron-Dels	188	Bittermens ’Elemakule Tiki Bitters
Bitters (Tiki)	Blazing Saddles	197	Bittermens ’Elemakule Tiki Bitters
Bitters (Tiki)	Cider House Rules	221	Bittermens ’Elemakule Tiki Bitters
Bitters (Tiki)	St. James Infirmary	269	Bittermens ‘Elemakule Tiki Bitters
Blackberry Liqueur	Pink Elephant	159	Massenez Crème De Mûre Blackberry Liqueur
Blood Orange Liqueur	Frisco Club	155	Solerno Blood Orange Liqueur
Blood Orange Liqueur	Sergio Leone	194	Solerno Blood Orange Liqueur
Blood Orange Liqueur	The Dangerous Summer	205	Solerno Blood Orange Liqueur
Brandy (Apple)	Diamondback	142	Laird’s Bonded Apple Brandy
Brandy (Apple)	Jack Rose	144	Laird’s Bonded Apple Brandy
Brandy (Apple)	Jack Rose	144	Busnel Vsop Calvados
Brandy (Apple)	Pink Lady	148	Laird’s Bonded Apple Brandy
Brandy (Apple)	Botany Of Desire	162	Busnel Vsop Calvados
Brandy (Apple)	European Union	162	Busnel Vsop Calvados
Brandy (Apple)	Patois Punch	173	Busnel Vsop Calvados
Brandy (Apple)	Puerto Rican Racer	179	Laird’s Bonded Apple Brandy
Brandy (Apple)	Coralillo	190	Busnel Vsop Calvados
Brandy (Apple)	Vipera	195	Laird’s Bonded Apple Brandy
Brandy (Apple)	Dr. Feelgood	199	Clear Creek Apple Brandy
Brandy (Apple)	Scotch Lady	202	Laird’s Bonded Apple Brandy
Brandy (Apple)	Four In Hand	206	Laird’s Bonded Apple Brandy
Brandy (Apple)	Shruff’s End	208	Laird’s Bonded Apple Brandy
Brandy (Apple)	Wicked Kiss	209	Laird’s Bonded Apple Brandy
Brandy (Apple)	Don’t Sit Under The Apple	210	Laird’s Bonded Apple Brandy
Brandy (Apple)	Enchanted Orchard	210	Busnel Vsop Calvados
Brandy (Apple)	Poire Man’s Cobbler	214	Busnel Vsop Calvados
Brandy (Apple)	Sloe Scobeyville Sling	214	Laird’s Bonded Apple Brandy
Brandy (Apple)	Black Market Brandy	216	Laird’s Bonded Apple Brandy
Brandy (Apple)	Castle Of Córdoba	216	Busnel Vsop Calvados
Brandy (Apple)	Les Verts Monts	217	Busnel Vsop Calvados
Brandy (Apple)	Lilywhacker	218	Laird’s Bonded Apple Brandy
Brandy (Apple)	Little Sparrow	218	Busnel Vsop Calvados
Brandy (Apple)	Little Sparrow	218	Laird’s Bonded Apple Brandy
Brandy (Apple)	Sidewinder	219	Laird’s Bonded Apple Brandy
Brandy (Apple)	Widow’s Laurel	219	Busnel Vsop Calvados
Brandy (Apple)	Calva Dorsa Royale	221	Busnel Vsop Calvados
Brandy (Apple)	Dirty Mary, Crazy Larry	222	Laird’s Bonded Apple Brandy
Brandy (Apple)	Jane Rose	224	Laird’s Bonded Apple Brandy
Brandy (Apple)	Miss Behavin’	226	Laird’s Bonded Apple Brandy
Brandy (Apple)	Susie Q	227	Busnel Vsop Calvados
Brandy (Apple)	Jersey Lightning	236	Laird’s Bonded Apple Brandy
Brandy (Apple)	Not-Quite-Georgia Julep	244	Laird’s Bonded Apple Brandy
Brandy (Apple)	Smoked Julep	244	Laird’s Bonded Apple Brandy
Brandy (Apple)	Pit Stop Flip	246	Laird’s Bonded Apple Brandy
Brandy (Apple)	The Vanderbilt	259	Laird’s Bonded Apple Brandy
Brandy (Apple)	Sunset At Gowanus	263	Laird’s Bonded Apple Brandy
Brandy (Apple)	Conference	270	Calvados
Brandy (Apple)	Jekyll And Hyde	272	Laird’s Bonded Apple Brandy
Brandy (Apple)	North Garden	273	Laird’s Bonded Apple Brandy
Brandy (Cherry)	Charleston Cocktail	141	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	Martinez	145	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	Remember The Maine	150	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	The Dangerous Summer	205	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	Run For The Roses	227	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	Pisco Inferno	269	Massenez Kirsch Vieux Cherry Brandy
Brandy (Cherry)	Red Ant	269	Massenez Kirsch Vieux Cherry Brandy
Brandy (Grape)	Champs-Élysées	141	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Sazerac	151	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Sidecar	151	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Stinger	152	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Vieux Carré	153	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Banana Cognac	210	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Ginger Snap	210	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Heart-Shaped Box	211	Hine H Cognac
Brandy (Grape)	Hoi Polloi	211	Hine H Cognac
Brandy (Grape)	Little Miss Annabelle	213	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Morning Buzz	213	Hine H Cognac
Brandy (Grape)	Port Authority	214	Cognac
Brandy (Grape)	Solera Sidecar	215	Hine H Cognac
Brandy (Grape)	Stick The Landing	215	Louis Royer Force 53 Cognac
Brandy (Grape)	Black Magic	216	Hine H Cognac
Brandy (Grape)	Black Market Brandy	216	Hine H Cognac
Brandy (Grape)	Castle Of Córdoba	216	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Jarnac Shrub	216	Hine H Cognac
Brandy (Grape)	Legend	217	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Les Verts Monts	217	Tariquet Vs Classique Bas-Armagnac
Brandy (Grape)	Les Verts Monts	217	Guillon-Painturaud Cognac Grande Champagne Vsop
Brandy (Grape)	Martica	218	Hine H Cognac
Brandy (Grape)	Night Owl	218	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Sade’s Taboo	219	Hine H Cognac
Brandy (Grape)	Sidewinder	219	Hine H Cognac
Brandy (Grape)	Boomin’ Granny	220	Hine H Cognac
Brandy (Grape)	Julien Sorel	224	Courvoisier Cognac
Brandy (Grape)	Not-Quite-Georgia Julep	244	Cognac
Brandy (Grape)	Jelly Roll Morton	246	Hine H Cognac
Brandy (Grape)	Snake Hips Swizzle	251	Hine H Cognac
Brandy (Grape)	Creole Saz	255	Pierre Ferrand 1840 Cognac
Brandy (Grape)	Hallyday	256	Hine H Cognac
Brandy (Grape)	Boukman Daiquiri	261	Hine H Cognac
Brandy (Grape)	Ingénue	267	Pierre Ferrand Ambre Cognac
Brandy (Grape)	Conference	270	Hine H Cognac
Brandy (Pear)	Pressure Drop	169	Clear Creek Pear Brandy
Brandy (Pear)	Sling Of Aphrodite	174	Clear Creek Pear Brandy
Brandy (Pear)	Coralillo	190	Clear Creek Pear Brandy
Brandy (Pear)	Imaginary Grace	192	Clear Creek Pear Brandy
Brandy (Pear)	Miss Behavin’	226	Clear Creek Pear Brandy
Brandy (Pear)	Hallyday	256	Clear Creek Pear Brandy
Brandy (Pear)	Saz Who?	257	Clear Creek Pear Brandy
Brandy (Pisco)	Pisco Sour	149	Campo De Encanto Acholado Pisco
Brandy (Pisco)	Enchanted Orchard	210	Campo De Encanto Acholado Pisco
Brandy (Pisco)	Joker’s Wild	211	La Diablada Pisco
Brandy (Pisco)	Little Birdy	213	Strawberry- And Pineapple-Infused Macchu Pisco
Brandy (Pisco)	Maggie Smith	213	Campo De Encanto Acholado Pisco
Brandy (Pisco)	Mucho Picchu	213	Macchu Pisco
Brandy (Pisco)	Peachy Pachacuti	214	Macchu Pisco
Brandy (Pisco)	Soul Clench	219	Waqar Pisco
Brandy (Pisco)	Sweet Hereafter	219	Campo De Encanto Acholado Pisco
Brandy (Pisco)	Lily’s Cartel	224	Macchu Pisco
Brandy (Pisco)	P-Five Punch	238	Campo De Encanto Acholado Pisco
Brandy (Pisco)	Pisco Punch	239	Strawberry- And Pineapple-Infused Macchu Pisco
Brandy (Pisco)	Valley Of Kings Punch	241	Scarlet Glow Tea–Infused Macchu Pisco
Brandy (Pisco)	Pisco Inferno	269	Campo De Encanto Acholado Pisco
Butter (Apple)	Doc’s Dram	199	Apple Butter
Butter (Apple)	Little Engine	201	Apple Butter
Butter (Pumpkin)	Vampire Blues	203	Pumpkin Butter
Cachaça	Caipirinha	141	Avuá Amburana Cachaça
Cachaça	Banana Cognac	210	Avuá Amburana Cachaça
Champagne	Airmail	139	Dry Champagne
Champagne	French 75	143	Dry Champagne
Champagne	French 95	143	Dry Champagne
Champagne	Mucho Picchu	213	Dry Champagne
Champagne	Bitter French	220	Dry Champagne
Champagne	Boomin’ Granny	220	Dry Champagne
Champagne	The Bittenbender	220	Dry Champagne
Champagne	Calva Dorsa Royale	221	Dry Champagne
Champagne	Dark ‘N’ Bubbly	221	Dry Champagne
Champagne	Dick And Jane	221	Dry Champagne
Champagne	Doc Daneeka Royale	222	Dry Champagne
Champagne	Dragon Lily	222	Dry Champagne
Champagne	Drunken Skull	222	Dry Champagne
Champagne	Elder Fashion Royale	222	Dry Champagne
Champagne	Fair Lady	222	Dry Champagne
Champagne	Fancy Holland Royale	223	Dry Champagne
Champagne	Flaquita	223	Dry Champagne
Champagne	Green Flash	223	Dry Champagne
Champagne	Irish Seelbach	223	Dry Champagne
Champagne	Iron Chancellor	223	Dry Champagne
Champagne	Jane Rose	224	Dry Champagne
Champagne	Julien Sorel	224	Dry Champagne
Champagne	Lily’s Cartel	224	Dry Champagne
Champagne	Live Free Or Die	224	Dry Champagne
Champagne	Mig Royale	224	Dry Champagne
Champagne	Miss Behavin’	226	Dry Champagne
Champagne	Morfeo	226	Dry Champagne
Champagne	North By Northwest	226	Dry Champagne
Champagne	Radio Days	226	Dry Champagne
Champagne	Run For The Roses	227	Dry Champagne
Champagne	Seda De Naranja	227	Dry Champagne
Champagne	South Sider	227	Dry Champagne
Champagne	Trapeze	227	Dry Champagne
Champagne	Kill-Devil Punch	236	Dry Champagne
Champagne	Lust For Life Punch	237	Dry Champagne
Champagne	Mother’s Ruin Punch	237	Dry Champagne
Champagne	Razzle-Dazzle Punch	241	Dry Champagne
Champagne	Rugby Punch	241	Dry Champagne
Champagne	Valley Of Kings Punch	241	Dry Champagne
Champagne	St-Germain Redux	253	Dry Champagne
Green Chartreuse	Champs-Élysées	141	Green Chartreuse
Green Chartreuse	Last Word	144	Green Chartreuse
Green Chartreuse	Tailspin	152	Green Chartreuse
Green Chartreuse	Gypsy Eyes	157	Green Chartreuse
Green Chartreuse	Key Party	165	Green Chartreuse
Green Chartreuse	Mexi-Gin Martini	166	Green Chartreuse
Green Chartreuse	The Green Mile	172	Green Chartreuse
Green Chartreuse	Cobra Verde	176	Green Chartreuse
Green Chartreuse	Dale Cooper	190	Green Chartreuse
Green Chartreuse	Pete’s Word	202	Green Chartreuse
Green Chartreuse	Four In Hand	206	Green Chartreuse
Green Chartreuse	St. Columbus Rill	208	Green Chartreuse
Green Chartreuse	Julien Sorel	224	Green Chartreuse
Yellow Chartreuse	Diamondback	142	Yellow Chartreuse
Yellow Chartreuse	Muddled Mission	158	Yellow Chartreuse
Yellow Chartreuse	Light And Day	165	Yellow Chartreuse
Yellow Chartreuse	Cobra Verde	176	Yellow Chartreuse
Yellow Chartreuse	Howl On The Hill	178	Yellow Chartreuse
Yellow Chartreuse	Puerto Rican Racer	179	Yellow Chartreuse
Yellow Chartreuse	Camp Council	181	Yellow Chartreuse
Yellow Chartreuse	Fresa Brava	183	Yellow Chartreuse
Yellow Chartreuse	Naked And Famous	185	Yellow Chartreuse
Yellow Chartreuse	Silver Monk	187	Yellow Chartreuse
Yellow Chartreuse	Alta California	190	Yellow Chartreuse (Scant)
Yellow Chartreuse	Coralillo	190	Yellow Chartreuse
Yellow Chartreuse	Vipera	195	Yellow Chartreuse
Yellow Chartreuse	Wicked Kiss	209	Yellow Chartreuse
Yellow Chartreuse	Sidewinder	219	Yellow Chartreuse
Yellow Chartreuse	Trapeze	227	Yellow Chartreuse
Yellow Chartreuse	Schuman’s Alley	231	Yellow Chartreuse
Yellow Chartreuse	East River Underground	234	Yellow Chartreuse
Yellow Chartreuse	Cirque Swizzle	248	Yellow Chartreuse
Yellow Chartreuse	Coin Toss	252	Yellow Chartreuse
Yellow Chartreuse	Sunset At Gowanus	263	Yellow Chartreuse
Yellow Chartreuse	Daisy Buchanan	267	Yellow Chartreuse
Cherry Heering	Blood And Sand	140	Cherry Heering
Cherry Heering	Remember The Maine	150	Cherry Heering
Cherry Heering	Singapore Sling	151	Cherry Heering
Cherry Heering	Eagle-Eye Cherry	176	Cherry Heering
Cherry Heering	Swearengen Sling	202	Cherry Heering
Cherry Heering	Le Gigot Flip	246	Cherry Heering
Cherry Heering	Pisco Inferno	269	Cherry Heering
Cherry Heering	Red Ant	269	Cherry Heering
Cider (Apple)	Shanty Town	160	Doc’s Hard Apple Cider
Cider (Pear)	Cider House Rules	221	Doc’s Hard Pear Cider
Club Soda	Dark And Stormy	142	Club Soda
Club Soda	Gin Fizz	143	Club Soda
Club Soda	Gin Rickey	143	Club Soda
Club Soda	Moscow Mule	147	Club Soda
Club Soda	Ramos Gin Fizz	150	Club Soda
Club Soda	Tom Collins	152	Club Soda
Club Soda	Cádiz Collins	154	Club Soda
Club Soda	Overhead Smash	158	Club Soda
Club Soda	The Monroe	166	Club Soda
Club Soda	Boo-Ya Cachaça	170	Club Soda
Club Soda	Company Buck	170	Club Soda
Club Soda	Golden Beautiful	184	Club Soda
Club Soda	Head Spin	184	Splash Of Club Soda
Club Soda	Spicy Paloma	188	Club Soda
Club Soda	Fix Me Up	200	Club Soda
Club Soda	Honshu Punch	200	Club Soda
Club Soda	Vejk Sling	203	Club Soda
Club Soda	Joker’s Wild	211	Club Soda
Club Soda	Sloe Scobeyville Sling	214	Club Soda
Club Soda	Have At It	230	Club Soda
Club Soda	Arrack Punch	232	Club Soda
Club Soda	Billingsley Punch	232	Club Soda
Club Soda	Bloodhound Punch	233	Club Soda
Club Soda	Bookhouse Boys Punch	233	Club Soda
Club Soda	Drunken Punch	234	Club Soda
Club Soda	East River Underground	234	Club Soda
Club Soda	Evil Dead Punch	234	Club Soda
Club Soda	Hoist The Colours Punch	236	Club Soda
Club Soda	Jersey Lightning	236	Club Soda
Club Soda	Kill-Devil Punch	236	Club Soda
Club Soda	La Fée Noir Punch	236	Club Soda
Club Soda	Lights Out Punch	237	Club Soda
Club Soda	Lust For Life Punch	237	Club Soda
Club Soda	Mother’s Ruin Punch	237	Club Soda
Club Soda	Nuts And Sherry Punch	238	Club Soda
Club Soda	Pic-A-De-Crop Punch	239	Club Soda
Club Soda	Pisco Punch	239	Club Soda
Club Soda	Porfirian Punch	239	Club Soda
Club Soda	Rugby Punch	241	Club Soda
Club Soda	Valley Of Kings Punch	241	Club Soda
Club Soda	Celine Fizz	245	Club Soda
Club Soda	Sleepy Hollow Fizz	247	Club Soda
Club Soda	Black Market Sling	252	Club Soda
Club Soda	St-Germain Redux	253	Club Soda
Coconut Liqueur	Piña Colada	148	Kalani Ron De Coco Coconut Liqueur
Coconut Liqueur	Queen Palm	159	Kalani Ron De Coco Coconut Liqueur
Coconut Liqueur	Piña Colada Deconstruction	179	Kalani Ron De Coco Coconut Liqueur
Coconut Liqueur	Crane Kick	198	Kalani Ron De Coco Coconut Liqueur
Cordial (Black Currant)	Mortal Enemy	158	American Fruits Black Currant Cordial
Cordial (Kumquat)	Head Spin	184	Kumquat Cordial
Cordial (Lime)	Gimlet	143	Toby’s Lime Cordial
Cordial (Lime)	Jane Rose	224	Toby’s Lime Cordial
Cordial (Lime)	Javanese Daiquiri	262	Toby’s Lime Cordial
Cream (Coconut)	Piña Colada	148	Coco Lopez
Cream (Coconut)	The Commandant	155	Coco Lopez
Cream (Coconut)	Eye Of The Torino	200	Coco Lopez
Cream Heavy	Grasshopper	143	Heavy Cream
Cream Heavy	Mudslide Flip	147	Heavy Cream
Cream Heavy	Ramos Gin Fizz	150	Heavy Cream
Cream Heavy	Good Humor	157	Heavy Cream
Cream Heavy	Julius Orange	172	Heavy Cream
Cream Heavy	Koko B. Ware	173	Heavy Cream
Cream Heavy	Velvet Warhol	180	Heavy Cream
Cream Heavy	Eye Of The Torino	200	Heavy Cream
Cream Heavy	Morning Buzz	213	Honey Nut Cheerio–Infused Cream
Cream Heavy	Jelly Roll Morton	246	Heavy Cream
Cream Heavy	Le Gigot Flip	246	Heavy Cream
Cream Heavy	Pit Stop Flip	246	Heavy Cream
Cream Heavy	Raisin Burn	246	Heavy Cream
Crème De Cacao (White)	20th Century	139	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Grasshopper	143	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Mortal Enemy	158	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Howlin’ At The Moon	163	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	18th Century	170	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Cortado	176	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Rock, Paper, Scissors	180	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Velvet Warhol	180	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Prima China	193	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Te Amo	195	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	19th Century	197	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Cure For Pain	205	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Hoi Polloi	211	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Flaquita	223	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Midnight Mountain	231	Marie Brizard White Crème De Cacao
Crème De Cacao (White)	Bourbonnais Swizzle	248	Marie Brizard White Crème De Cacao
Crème De Cassis	Port Authority	214	Crème De Cassis
Crème De Menthe	Grasshopper	143	Marie Brizard White Crème De Menthe
Crème De Menthe	Stinger	152	Marie Brizard White Crème De Menthe
Crème De Menthe	Black Magic	216	Marie Brizard White Crème De Menthe
Crème De Menthe	Midnight Mountain	231	Marie Brizard White Crème De Menthe
Crème De Violette	The Risk Pool	160	Rothman & Winter Crème De Violette
Crème Yvette	Aviation	139	Crème Yvette
Crème Yvette	Bella Luna	154	Crème Yvette
Crème Yvette	Pink Flag	159	Crème Yvette
Crème Yvette	Boo-Ya Cachaça	170	Crème Yvette
Crème Yvette	Pillow Talk	226	Crème Yvette
Crème Yvette	Cirque Swizzle	248	Crème Yvette Plus More For Topping The Drink
Drambuie	Bobby Burns	140	Drambuie
Drambuie	Rusty Nail	151	Drambuie
Drambuie	Scotch Dram	208	Drambuie
Drambuie	Widow’s Laurel	219	Drambuie
Drambuie	Tea Time At Guillermo’s	273	Drambuie
Drambuie	Tiki-Tiki Tom-Tom	273	Drambuie
Egg (Whole?)	Jack Sparrow Flip	245	Egg (Whole?)
Egg (White)	Gin Fizz	143	Egg White
Egg (White)	Pink Lady	148	Egg White
Egg (White)	Pisco Sour	149	Egg White
Egg (White)	Ramos Gin Fizz	150	Egg White
Egg (White)	Whiskey Sour	153	Egg White
Egg (White)	Grouse Rampant	200	Egg White
Egg (White)	Scotch Lady	202	Egg White
Egg (White)	Don’t Sit Under The Apple	210	Egg White
Egg (White)	Celine Fizz	245	Egg White
Egg (White)	Chinese Fizz	245	Egg White
Egg (Whole)	Raisin Burn	246	Egg (Whole)
Egg (Yolk)	Mudslide Flip	147	Egg Yolk
Egg (Yolk)	Morning Buzz	213	Egg Yolk
Egg (Yolk)	Jelly Roll Morton	246	Egg Yolk
Egg (Yolk)	Le Gigot Flip	246	Egg Yolk
Egg (Yolk)	Pit Stop Flip	246	Egg Yolk
Egg (Yolk)	Saturday Morning Flip	247	Egg Yolk
Egg (Yolk)	Sleepy Hollow Fizz	247	Egg Yolk
Elderflower Liqueur	Bella Luna	154	St-Germain
Elderflower Liqueur	Muddled Mission	158	St-Germain
Elderflower Liqueur	Summer Shack	169	St-Germain
Elderflower Liqueur	Espadin Queen	183	St-Germain
Elderflower Liqueur	Saramago	193	St-Germain
Elderflower Liqueur	Terrible Love	195	St-Germain
Elderflower Liqueur	Bella Cohen	204	St-Germain
Elderflower Liqueur	La Dolce Vita	206	St-Germain
Elderflower Liqueur	Heart-Shaped Box	211	St-Germain
Elderflower Liqueur	Little Birdy	213	St-Germain
Elderflower Liqueur	Little Sparrow	218	St-Germain
Elderflower Liqueur	Soul Clench	219	St-Germain
Elderflower Liqueur	Sweet Hereafter	219	St-Germain
Elderflower Liqueur	Calva Dorsa Royale	221	St-Germain
Elderflower Liqueur	Dick And Jane	221	St-Germain
Elderflower Liqueur	Elder Fashion Royale	222	St-Germain
Elderflower Liqueur	Evil Dead Punch	234	St-Germain
Elderflower Liqueur	Celine Fizz	245	St-Germain
Elderflower Liqueur	St-Germain Redux	253	St-Germain
Elderflower Liqueur	Cooper Union	255	St-Germain
Elderflower Liqueur	Jive Turkey	268	St-Germain
Elderflower Liqueur	Mi Amaro	268	St-Germain
Elderflower Liqueur	Elder Fashion	270	St-Germain
Falernum	Port Au Prince	149	John D. Taylor Velvet Falernum
Falernum	Rum Julep	150	John D. Taylor Velvet Falernum
Falernum	The Commandant	155	John D. Taylor Velvet Falernum
Falernum	Gypsy Wedding	157	John D. Taylor Velvet Falernum
Falernum	Petticoat	159	John D. Taylor Velvet Falernum
Falernum	Strange Brew	160	John D. Taylor Velvet Falernum
Falernum	Sunset Gun	161	John D. Taylor Velvet Falernum
Falernum	Yama Blanca	195	John D. Taylor Velvet Falernum
Falernum	Soul Clench	219	John D. Taylor Velvet Falernum
Falernum	Cider House Rules	221	John D. Taylor Velvet Falernum
Falernum	Coffey Park Swizzle	249	John D. Taylor Velvet Falernum
Falernum	Dolores Park Swizzle	249	John D. Taylor Velvet Falernum
Falernum	Park Life Swizzle	251	John D. Taylor Velvet Falernum
Fruit (Apple)	Blown Rose	198	Fuji Apple Slices
Fruit (Apple)	Sweet And Vicious	208	Fuji Apple Slices
Fruit (Blackberry)	Get Lucky	171	Blackberries
Fruit (Blackberry)	Port Authority	214	Blackberries
Fruit (Blackberry)	La Fée Noir Punch	236	Blackberries
Fruit (Blackberry)	Electric Kool-Aid Acid Test	252	Blackberries
Fruit (Cherry)	Ty Cobbler	189	Brandied Cherries
Fruit (Cherry)	Swearengen Sling	202	Brandied Cherries
Fruit (Grape)	Gypsy Wedding	157	Green Grapes
Fruit (Lime)	Caipirinha	141	Lime Wedges
Fruit (Lime)	Mai Tai	144	Lime Wedge
Fruit (Lime)	Paloma	148	Lime
Fruit (Nectarine)	Derby Girl	229	Small Nectarine Slices
Fruit (Orange)	Cádiz Collins	154	Orange Wheel
Fruit (Orange)	Cinnamon Girl	182	Orange Wedges
Fruit (Orange)	Radio Days	226	Orange Crescent
Fruit (Peach)	Peachy Pachacuti	214	Ripe Peach Slices
Fruit (Pear)	Anjou Mama	154	Small Ripe Anjou Pear Slices
Fruit (Pear)	St. Matilda	188	Bartlett Pear Cubed
Fruit (Pear)	Poire Man’s Cobbler	214	Ripe Bartlett Pear Cubed
Fruit (Raspberry)	Ramble	160	Raspberries
Fruit (Raspberry)	La Valentina	184	Raspberries
Fruit (Raspberry)	Monongahela Mule	201	Raspberries
Fruit (Raspberry)	The Bittenbender	220	Raspberries
Fruit (Raspberry)	Kill-Devil Punch	236	Raspberries
Fruit (Raspberry)	Razzle-Dazzle Punch	241	Raspberries
Fruit (Raspberry)	House Of Payne	258	Raspberries
Fruit (Raspberry)	La Bomba Daiquiri	262	Raspberries
Fruit (Strawberry)	Good Humor	157	Strawberry
Fruit (Strawberry)	Muddled Mission	158	Strawberry
Fruit (Strawberry)	Overhead Smash	158	Strawberry
Fruit (Strawberry)	Seersucker	174	Strawberry
Fruit (Strawberry)	Aka Cobbler	181	Strawberry
Fruit (Strawberry)	Fresa Brava	183	Strawberry
Fruit (Strawberry)	Straw Dog	202	Strawberry
Fruit (Strawberry)	Warehouse C	203	Strawberry
Fruit (Strawberry)	Heart-Shaped Box	211	Strawberry
Fruit (Tangerine)	202 Steps	197	Tangerine Peeled
Fruit (Tomato)	Rebel Rebel	193	Cherry Tomato
Galliano	Mainland	166	Galliano L’autentico
Galliano	Sure Shot	169	Galliano Ristretto
Galliano	Hadley’s Tears	178	Galliano Ristretto
Galliano	Single Origin	187	Galliano Ristretto
Galliano	Tommy And The Ron-Dels	188	Galliano L’autentico
Galliano	Broken Oath	190	Galliano Ristretto
Galliano	Coffee And Cigarettes	205	Galliano Ristretto
Galliano	Morfeo	226	Galliano L’autentico
Gin	Gimlet	143	Perry’s Tot Navy-Strength Gin
Gin	The Commandant	155	Perry’s Tot Navy-Strength Gin
Gin	Shanty Town	160	Perry’s Tot Navy-Strength Gin
Gin	Botany Of Desire	162	Bruichladdich Botanist Gin
Gin	Imperial March	163	Martin Miller’s Westbourne-Strength Gin
Gin	Summer Shack	169	Martin Miller’s Westbourne-Strength Gin
Gin	P-Five Punch	238	Old Raj Gin
Gin	Pearls Before Swine	246	Martin Miller’s Westbourne-Strength Gin
Gin	Fail-Safe	258	Perry’s Tot Navy-Strength Gin
Gin (American)	Mortal Enemy	158	Dorothy Parker Gin
Gin (American)	Sunset Gun	161	Dorothy Parker Gin
Gin (American)	North By Northwest	226	Aviation Gin
